Product_link,Product_img_link,Product_sub_name,Product_name,Price
https://whiskyonlinecy.com/product/amrut-bagheera-sherry-cask-gift-pack-70cl-46/?v=e7d707a26e7f,https://whiskyonlinecy.com/wp-content/uploads/2022/08//Amrut-Bagheera-Sherry-Cask-Gift-Pack-70cl-46-270x250.jpg,World Whisky,Amrut Bagheera Sherry Cask Gift Pack 70cl; 46%,54.62
https://whiskyonlinecy.com/product/amrut-fushion-x-batch-no-1-2020-limited-edition-70cl-50/?v=e7d707a26e7f,https://whiskyonlinecy.com/wp-content/uploads/2021/10//Amrut-Fushion-X-2021-70cl-50-270x250.jpg,World Whisky,Amrut Fushion X Batch No.1 2020 Limited Edition (70cl; 50%),331.93
https://whiskyonlinecy.com/product/amrut-fusion-70cl-50/?v=e7d707a26e7f,https://whiskyonlinecy.com/wp-content/uploads/2020/05//Amrut-Fusion-70cl-50-270x250.png,World Whisky,Amrut Fusion (70cl; 50%),43.7
https://whiskyonlinecy.com/product/amrut-kadhambam-third-edition-70cl-50/?v=e7d707a26e7f,https://whiskyonlinecy.com/wp-content/uploads/2021/05//Amrut-Kadhambam-Third-Edition-70cl-50-270x250.jpg,World Whisky,Amrut Kadhambam Third Edition (70cl; 50%),105.04
https://whiskyonlinecy.com/product/amrut-peated-cask-strength-2019-70cl-62-8/?v=e7d707a26e7f,https://whiskyonlinecy.com/wp-content/uploads/2021/10//Amrut-Peated-Cask-Strength-2019-70cl-62.8-270x250.jpg,World Whisky,Amrut Peated Cask Strength 2019 (70cl; 62.8%),75.62
https://whiskyonlinecy.com/product/amrut-portonova-70cl-62-1/?v=e7d707a26e7f,https://whiskyonlinecy.com/wp-content/uploads/2020/05//Amrut-Portonova-70cl-62.1-270x250.png,World Whisky,Amrut Portonova (70cl; 62.1%),100
https://whiskyonlinecy.com/product/amrut-raj-igala-70cl-40/?v=e7d707a26e7f,https://whiskyonlinecy.com/wp-content/uploads/2020/05//Amrut-Raj-Igala-70cl-40-270x250.png,World Whisky,Amrut Raj Igala (70cl; 40%),39.5
https://whiskyonlinecy.com/product/amrut-single-malt-cask-strength-whisky-70cl-61-8/?v=e7d707a26e7f,https://whiskyonlinecy.com/wp-content/uploads/2020/04//Amrut-Single-Malt-Cask-Strength-Whisky-70cl-61.8-270x250.jpg,World Whisky,Amrut Single Malt Cask Strength Whisky (70cl; 61.8%),54.62
https://whiskyonlinecy.com/product/amrut-single-malt-whisky-70cl-46/?v=e7d707a26e7f,https://whiskyonlinecy.com/wp-content/uploads/2020/05//Amrut-Single-Malt-Whisky-70cl-46-270x250.png,World Whisky,Amrut Single Malt Whisky (70cl; 46%),46.22
https://whiskyonlinecy.com/product/amrut-single-malt-whisky-sample-2cl-46/?v=e7d707a26e7f,https://whiskyonlinecy.com/wp-content/uploads/2020/05//Amrut-Single-Malt-Whisky-Sample-2cl-46-270x250.png,World Whisky,Amrut Single Malt Whisky Sample (2cl; 46%),2.1
